_id,firstName,lastName,email,role,department,password,__v
670cca619d61ff5c14d70fdd,Palma,Waters,Stephen.Emard@hotmail.com,admin,Data Engineering,_LLWRikBC8obKGi,0
670cca619d61ff5c14d70fde,Freda,McGlynn,Leonor_Bradtke@hotmail.com,employee,Data Engineering,8mKBjegPmcJVREy,0
670cca619d61ff5c14d70fdf,Vinnie,Beahan,Dorothea.Keeling-Wehner93@gmail.com,admin,Data Engineering,4s5pqwy6EYLgxQ8,0
670cca619d61ff5c14d70fe0,Favian,Trantow,Mossie_Gleichner85@gmail.com,admin,Full Stack,VSvk2DIv8jddasw,0
670cca619d61ff5c14d70fe1,Geoffrey,Sporer,Kasey4@hotmail.com,employee,Data Engineering,6F3XKjet7ujnVc1,0
670cca619d61ff5c14d70fe2,Madilyn,Moen,Molly94@gmail.com,employee,Full Stack,kFWBv1RM82Ryoo1,0
670cca619d61ff5c14d70fe3,Clementina,Corwin,Warren_Heaney@yahoo.com,employee,Data Science,OIZxdps1QKsB5lX,0
670cca619d61ff5c14d70fe4,Lupe,Davis,Gage_Bartell62@yahoo.com,admin,Data Engineering,6q4Lb5_Zlc4ZYVD,0
670cca619d61ff5c14d70fe5,Jamey,Beatty,Junior28@hotmail.com,employee,Data Science,Z4mXUEW3SQ72cms,0
670cca619d61ff5c14d70fe6,Arvid,Cartwright,Ava_Becker@yahoo.com,employee,Data Science,u6Fm82sCDbgK945,0
670cca619d61ff5c14d70fe7,Dimitri,Vandervort-Bogan,Akeem_Swift@gmail.com,admin,Data Engineering,bzIRouCLbUw6eyl,0
670cca619d61ff5c14d70fe8,Candice,Gottlieb,Devon47@hotmail.com,employee,Data Engineering,mOJWZiurkazDevl,0
670cca619d61ff5c14d70fe9,Lisette,Lang,Neoma66@yahoo.com,employee,Full Stack,TA9zuFoo0BpOm5n,0
670cca619d61ff5c14d70fea,Maggie,Willms,Sherwood_Hudson35@gmail.com,employee,Full Stack,_BApdi6mCx3aVcb,0
670cca619d61ff5c14d70feb,Aida,Oberbrunner,Rodrigo_MacGyver@hotmail.com,employee,Full Stack,nnNJxAfz482vxmE,0
670cca619d61ff5c14d70fec,Rahul,Zemlak,Willy_Pfannerstill@hotmail.com,admin,Data Science,FLPrMGMDgtyN4Z7,0
